FULL_ADDRESS,Middle_School,High_School,UNITCOUNT,ZIP5,CITY,STATE,STATUS,ADDRESS_TYPE,OBJECTID,Longitude,Latitude
1200 WILSON BLVD,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2082,-77.07150804699995,38.894765050000046
1201 N COURTHOUSE RD,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2084,-77.08313942599995,38.887268231000064
1201 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2094,-77.07616294299999,38.887876833000064
1201 N SYCAMORE ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,2098,-77.15507367499998,38.880437983000036
1201 N TUCKAHOE ST,Williamsburg Middle School,Yorktown High School,1.0,22046,FALLS CHURCH,VA,VERIFIED,Standard,2100,-77.15590725999994,38.88046735300003
1203 N COURTHOUSE RD,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2128,-77.08314721399995,38.88738094100006
1203 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2131,-77.07618306699999,38.88801715400007
1204 N OAK ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2146,-77.07421509799997,38.88843273300006
1204 N ROOSEVELT ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,2148,-77.15467966199998,38.88059960500004
1204 N SYCAMORE ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,2150,-77.15561932599996,38.88056071800003
1204 N WAYNE ST,Dorothy Hamm Middle School,Yorktown High School,4.0,22201,ARLINGTON,VA,VERIFIED,Standard,2153,-77.08651282199997,38.88756459000007
1204 FORT MYER DR,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2158,-77.07585227599998,38.888122656000064
1205 N SYCAMORE ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,2171,-77.15509212499995,38.88057824200007
1205 N TUCKAHOE ST,Williamsburg Middle School,Yorktown High School,1.0,22046,FALLS CHURCH,VA,VERIFIED,Standard,2172,-77.15601284599995,38.88057532700003
1208 N WAYNE ST,Dorothy Hamm Middle School,Yorktown High School,6.0,22201,ARLINGTON,VA,VERIFIED,Standard,2217,-77.08648361899998,38.88776994600005
1209 N TAFT ST,Dorothy Hamm Middle School,Yorktown High School,11.0,22201,ARLINGTON,VA,VERIFIED,Standard,2235,-77.08131240699998,38.88780859800005
1209 FORT MYER DR,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2242,-77.07498850699994,38.888576484000055
1210 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2270,-77.07820647299997,38.88794827100003
1210 N TAFT ST,Dorothy Hamm Middle School,Yorktown High School,102.0,22201,ARLINGTON,VA,VERIFIED,Standard,2273,-77.08205561699998,38.887893089000045
1210 FORT MYER DR,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2282,-77.07588654999995,38.88835368600007
1211 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2292,-77.07197295399999,38.88875559000007
1213 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2332,-77.07195671499994,38.88877351700006
1215 N COURTHOUSE RD,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2351,-77.08319649599997,38.88759512400003
1215 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2356,-77.07197961499998,38.888788102000035
1215 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2359,-77.07756647199994,38.88801530100005
1215 N SCOTT ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2361,-77.08029244899996,38.888392690000046
1215 FORT MYER DR,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2373,-77.07453848899996,38.88885373100004
1216 N TROY ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2387,-77.08275592499996,38.88761842300005
1217 N COURTHOUSE RD,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2398,-77.08301321199997,38.887604803000045
1217 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2403,-77.07196214499999,38.88880790800005
1219 N COURTHOUSE RD,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2421,-77.08297510399996,38.88772860300003
1219 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2423,-77.07198574499995,38.888847299000076
1220 N MEADE ST,Dorothy Hamm Middle School,Yorktown High School,8.0,22209,ARLINGTON,VA,VERIFIED,Standard,2449,-77.07169649999997,38.889083898000024
1220 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2451,-77.07676488299995,38.88864951100004
1220 N QUEEN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2453,-77.07732322799995,38.88860377100008
1220 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2454,-77.07823114999997,38.888211890000036
1220 N SCOTT ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2455,-77.08081874899995,38.88816376800003
1220 N TROY ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2459,-77.08277208399994,38.88784986300004
1221 N COURTHOUSE RD,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2468,-77.08306336599998,38.88782641100005
1221 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2472,-77.07196337299996,38.88886798000004
1221 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2475,-77.07779606699995,38.888212837000026
1222 N MEADE ST,Dorothy Hamm Middle School,Yorktown High School,11.0,22209,ARLINGTON,VA,VERIFIED,Standard,2492,-77.07171999599996,38.88925207800003
1223 N COURTHOUSE RD,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2500,-77.08323069599999,38.88781329900007
1223 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2502,-77.07199107999998,38.88888644100007
1223 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2503,-77.07774170299996,38.88844770000003
1224 N MEADE ST,Dorothy Hamm Middle School,Yorktown High School,7.0,22209,ARLINGTON,VA,VERIFIED,Standard,2514,-77.07191683599996,38.88930305000008
1225 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2525,-77.07196997499994,38.88890526900008
1225 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2526,-77.07620791999994,38.88851405300005
1225 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2529,-77.07774610199994,38.88847922300005
1227 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2548,-77.07199734299996,38.88893896700006
1227 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2549,-77.07775057599997,38.888508770000044
1227 N SCOTT ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2551,-77.08032477899997,38.88862325600007
1229 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2574,-77.07197737199994,38.88896256000004
1229 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2577,-77.07775493699995,38.888542243000074
1230 N QUEEN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2591,-77.07746674599997,38.88874976000005
1230 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2592,-77.07826012799995,38.88848714900007
1230 N SCOTT ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2594,-77.08126111599995,38.88834235600007
1231 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2598,-77.07200386899996,38.88898004500004
1231 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2599,-77.07776428099999,38.88857778000005
1232 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2605,-77.07818238799996,38.888842702000034
1233 N COURTHOUSE RD,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2615,-77.08319600199997,38.88804538900007
1233 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2616,-77.07198143899996,38.88900360800005
1233 N SCOTT ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2617,-77.08035668099996,38.88887015500006
